1.02,21
0.64,18.2
0.63,18.1
0.65,18
0.66,18.5
0.58,18.4
0.6,18.05
0.68,18.9
0.93,20.55
1,20.92
0.84,20.48
0.63,18.82
0.7,17.45
0.95,20.39
0.67,19.46
0.67,17.87
0.7,19.31
0.69,19
0.7,19.4
0.71,19.9
0.72,20.2
0.73,20
1.28,12.75
1.22,13
1.09,13.75
0.91,20.97
0.87,20.88
0.79,20.67
1.03,14.25
0.97,15
0.65,18.95
0.68,19.3
0.66,17.7
0.7,17.7
0.9,20.5
0.75,17.4
0.65,18.03
0.67,17.98
0.75,19.8
0.82,17.48
0.66,18
0.66,17.8
0.75,17.6
0.85,17.4
1,15.8
0.95,15.25
0.93,15.5
0.9,16
0.63,18.38
0.64,18.72
0.65,18.88
0.62,17.8
0.83,19.97
0.77,19.12
0.86,17
0.8,17.5
0.73,17.75
0.64,18
0.66,19.25
0.72,19.75
0.7,19
1.1,21.5
1.05,21.3
0.88,20.28
0.5,16.8
0.6,16.6
0.4,17.2
0.8,19.8
0.95,20.5
0.96,20.3
0.79,19.6
0.79,20.1
0.86,20.3
0.74,19.7
0.65,18.45
0.63,18.4
1.01,20.56
0.47,16.6
0.67,18
0.71,19.5
