1.24,6.73
0.01,7.85
0.45,11.18
0.47,10.93
0.21,10.47
0.32,10.11
0.11,9.44
0.06,9.07
0.03,8.19
0.1,9.62
0.02,8.88
1.56,5.75
0.01,6.75
0.04,8.93
0.02,9.38
0.16,9.97
0.49,11.28
0.42,11.24
0.28,10.61
0.27,9.85
0.02,8.36
0.09,8.78
0.05,8.52
-0.02,8.06
0.14,9.69
0.12,9.29
0.03,7.73
0.2,9.93
0.12,9.18
0.24,9.7
0.57,5.61
0.08,8.78
0.06,8.81
0.15,10.19
0.06,9.43
-0.01,8.39
-0.01,6.87
0.07,8.55
0.11,9.6
0.08,9.67
0.76,13.21
0.19,9.88
0.62,12.07
0.08,8.95
0.54,11.97
0.35,10.7
1.28,6.71
0.56,11.99
0.21,9.51
0.05,7.23
0.29,10.44
0.23,9.69
0.02,8.21
0.74,13.98
0.34,10.97
0.01,7.18
-0.02,8.02
-0.02,6.77
0.05,8.57
0.11,9.72
0.04,8.76
0.11,9.65
0.31,10.56
0.09,9.59
0.61,11.7
0.03,7.85
0.08,8.77
-0.09,5.8
0.63,13
0.68,13.82
0.51,11.96
1.07,14.88
0.88,13.98
-0.05,6.32
1.76,5.19
0.83,14.07
0.42,11.28
0.58,11.15
-0.06,7.64
-0.09,5.8
-0.03,8.49
0.7,12.88
0.83,13.47
0.83,13.73
0.55,12.25
